Cruise	Station	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Sea pressure [decibar]	QV:ARGO	Practical salinity [psu]	QV:ARGO	Sea temperature [degree_Celsius]	QV:ARGO
6901920	42666173	2016-01-04T12:01:25Z	-18.596	52.49	180.6	1	35.398	1	11.549	1
					19.3	1	35.385	1	11.559	1
					200.4	1	35.433	1	11.301	1
					90.3	1	35.385	1	11.567	1
					34.4	1	35.385	1	11.559	1
					749.8	1	35.483	1	9.164	1
					139.8	1	35.384	1	11.567	1
					110	1	35.385	1	11.565	1
					1399.7	1	34.959	1	4.338	1
					80.2	1	35.385	1	11.565	1
					450.2	1	35.435	1	10.36	1
					1250.2	1	35.011	1	4.873	1
					400.3	1	35.45	1	10.515	1
					850.6	1	35.131	1	6.883	1
					650.3	1	35.389	1	9.246	1
					1000.1	1	35.084	1	5.929	1
					598.8	1	35.391	1	9.577	1
					549.9	1	35.342	1	9.598	1
					1700.1	1	34.929	1	3.917	1
					699.5	1	35.574	1	9.703	1
					120.4	1	35.384	1	11.563	1
					4	1	35.385	1	11.557	1
					949.7	1	35.107	1	6.259	1
					190.2	1	35.444	1	11.462	1
					9.2	1	35.385	1	11.557	1
					1050.5	1	35.043	1	5.538	1
					1599.4	1	34.936	1	4.036	1
					70.4	1	35.385	1	11.561	1
					1500	1	34.942	1	4.142	1
					40.2	1	35.385	1	11.56	1
					799.7	1	35.308	1	8.075	1
					1799.9	1	34.932	1	3.851	1
					1200.4	1	35.063	1	5.234	1
					150.2	1	35.384	1	11.568	1
					29.9	1	35.385	1	11.559	1
					1150.3	1	35.076	1	5.44	1
					100	1	35.385	1	11.563	1
					160	1	35.384	4	43.053	4
					170.4	1	35.385	1	11.565	1
					1099.8	1	35.042	1	5.331	1
					1350.4	1	34.973	1	4.491	1
					15	1	35.385	1	11.556	1
					24.9	1	35.385	1	11.559	1
					1899.7	1	34.928	1	3.742	1
					130.5	1	35.384	1	11.565	1
					899.9	1	35.137	1	6.639	1
					49.4	1	35.385	1	11.562	1
					500	1	35.367	1	9.922	1
					60.5	1	35.385	1	11.56	1
					1300.3	1	35.011	1	4.804	1
					360.3	1	35.279	1	9.91	1
6902680	44556578	2016-01-01T12:09:00Z	-3.89379	47.32968	35.9	1	35.256	1	13.636	1
					52.8	1	35.255	1	13.641	1
					102.4	1	35.345	1	12.498	1
					6.7	1	35.255	1	13.63	1
					7.8	1	35.255	1	13.628	1
					104.5	1	35.343	1	12.49	1
					97.6	1	35.343	1	12.525	1
					37.6	1	35.255	1	13.637	1
					10.7	1	35.255	1	13.63	1
					74.4	1	35.255	1	13.635	1
					95.6	1	35.336	1	12.619	1
					92.6	1	35.315	1	12.85	1
					44.6	1	35.256	1	13.639	1
					16.4	1	35.255	1	13.633	1
					28.6	1	35.255	1	13.636	1
					76.8	1	35.254	1	13.63	1
					45.7	1	35.256	1	13.639	1
					69.6	1	35.256	1	13.639	1
					26.3	1	35.255	1	13.636	1
					12.3	1	35.255	1	13.631	1
					88.6	1	35.314	1	12.893	1
					49.7	1	35.256	1	13.639	1
					65.4	1	35.256	1	13.64	1
					54.4	1	35.256	1	13.639	1
					55.6	1	35.256	1	13.64	1
					66.4	1	35.256	1	13.64	1
					24.4	1	35.255	1	13.635	1
					34.5	1	35.256	1	13.637	1
					90.5	1	35.314	1	12.876	1
					96.7	1	35.343	1	12.535	1
